"Participant","Recruitment","Condition","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Reward","Gender","Age","Education","Discipline","Student","Ethnicity","Country","Experiment_Enjoyment","Experiment_Feedback","Accuracy_Respiratory_A","Accuracy_Gastric_Q8","Accuracy_ColonBladder_Q1","Accuracy_Respiratory_Q1","Accuracy_State_Q3","Accuracy_Genital_A","Accuracy_Cardiac_Q1","Accuracy_Gastric_Q2","Accuracy_ColonBladder_Q3","Accuracy_ColonBladder_Q5","Accuracy_Gastric_Q5","Accuracy_State_Q4","Accuracy_ColonBladder_Q2","Accuracy_Gastric_Q1","Accuracy_ColonBladder_Q4","Accuracy_Gastric_Q6","Accuracy_SkinThermo_Q2","Accuracy_SkinThermo_Q1","Accuracy_State_Q5","Accuracy_Cardiac_Q2","Accuracy_SkinThermo_Q3","Accuracy_Genital_Q2","Accuracy_Gastric_Q4","Accuracy_Genital_Q1","Accuracy_Gastric_Q7","Accuracy_Gastric_Q3","Accuracy_State_Q1","Accuracy_SkinThermo_Q4","Accuracy_State_Q2","Sexual_ColonBladder_Q2","Sexual_State_Q3","Sexual_State_Q5","Sexual_State_A","Sexual_State_Q4","Sexual_SkinThermo_Q3","Sexual_Genital_Q2","Sexual_Gastric_Q2","Sexual_Respiratory_Q1","Sexual_Cardiac_Q1","Sexual_SkinThermo_Q2","Sexual_State_Q1","Sexual_Gastric_Q1","Sexual_SkinThermo_Q1","Sexual_Genital_Q1","Sexual_ColonBladder_Q1","Sexual_State_Q2","Nociception_ColonBladder_Q1","Nociception_ColonBladder_Q2","Nociception_State_Q2","Nociception_SkinThermo_Q1","Nociception_Cardiac_Q1","Nociception_Respiratory_Q1","Nociception_Respiratory_Q2","Nociception_ColonBladder_A","Nociception_SkinThermo_Q2","Nociception_Gastric_Q1","Nociception_Genital_Q2","Nociception_Genital_Q1","Nociception_SkinThermo_Q3","Nociception_Cardiac_Q2","Nociception_State_Q1","Confusion_ColonBladder_A","Confusion_Gastric_Q1","Confusion_State_Q1","Confusion_Respiratory_Q1","Confusion_ColonBladder_Q1","Confusion_Gastric_Q2","Confusion_Genital_Q1","Confusion_Cardiac_Q1","Confusion_SkinThermo_Q1","Confusion_State_Q2","Anxious_Cardiac_Q1","Anxious_State_Q5","Anxious_Genital_Q1","Anxious_State_Q1","Anxious_ColonBladder_Q1","Anxious_State_Q4","Anxious_SkinThermo_A","Anxious_State_Q3","Anxious_SkinThermo_Q1","Anxious_SkinThermo_Q4","Anxious_SkinThermo_Q3","Anxious_State_Q2","Anxious_Respiratory_Q1","Anxious_Gastric_Q1","Anxious_SkinThermo_Q2","Sensitivity_State_Q1","Sensitivity_SkinThermo_Q6","Sensitivity_SkinThermo_Q1","Sensitivity_Gastric_A","Sensitivity_Respiratory_Q7","Sensitivity_Cardiac_Q6","Sensitivity_Respiratory_Q5","Sensitivity_State_Q3","Sensitivity_Respiratory_Q1","Sensitivity_Cardiac_Q4","Sensitivity_Cardiac_Q5","Sensitivity_Cardiac_Q7","Sensitivity_Genital_Q2","Sensitivity_Gastric_Q2","Sensitivity_ColonBladder_Q3","Sensitivity_Respiratory_Q6","Sensitivity_SkinThermo_Q3","Sensitivity_Cardiac_Q3","Sensitivity_Gastric_Q1","Sensitivity_Respiratory_Q3","Sensitivity_Cardiac_A","Sensitivity_Respiratory_Q4","Sensitivity_Gastric_Q4","Sensitivity_SkinThermo_Q7","Sensitivity_Gastric_Q5","Sensitivity_State_Q4","Sensitivity_Genital_Q3","Sensitivity_Gastric_Q3","Sensitivity_Genital_Q1","Sensitivity_Cardiac_Q1","Sensitivity_ColonBladder_Q1","Sensitivity_SkinThermo_Q8","Sensitivity_ColonBladder_Q4","Sensitivity_State_Q2","Sensitivity_SkinThermo_Q4","Sensitivity_Cardiac_Q2","Sensitivity_State_Q5","Sensitivity_SkinThermo_Q2","Sensitivity_SkinThermo_Q5","Sensitivity_Gastric_Q6","Sensitivity_Respiratory_Q2","Sensitivity_ColonBladder_Q2"
"S142","prolific","Dimensions","2024-11-19 12:49:11",26.2262166666667,"chrome 131.0.0","false","Mac OS",1440,788,"Automatic","Male",36,"Bachelor","Engineering, Computer Science",FALSE,"White","United Kingdom",4,NA,0,5,6,2,5,0,3,3,5,4,4,5,5,4,3,6,3,2,3,2,2,1,6,6,1,1,5,5,5,1,3,5,6,6,1,6,2,4,6,4,5,0,1,6,1,6,4,0,5,4,1,1,0,0,4,3,6,6,6,2,6,6,6,1,3,3,6,2,4,4,1,6,1,0,4,4,6,0,3,5,3,5,4,4,4,5,5,4,0,6,2,4,3,3,2,3,4,4,4,3,5,4,4,2,4,3,6,1,4,4,1,5,1,3,3,3,3,3,4,5,4,3,5,4,4,4,2,4
"S198","prolific","Random","2024-11-19 16:05:43",14.7949833333333,"edge-chromium 130.0.0","false","Windows 10",2122,1042,"Automatic","Male",30,"High school",NA,FALSE,"White","United States",4,"good survey, but I think im much more in tune than that chart is showing. for example I can actually only smell and eat certain foods without getting nauseas",0,3,1,3,6,0,5,2,2,4,1,5,4,4,4,4,6,3,6,1,5,0,4,6,0,0,4,0,5,0,5,6,6,6,0,6,2,4,3,2,6,0,3,6,1,6,5,0,6,1,0,0,1,0,4,1,4,4,2,0,3,6,4,3,1,1,0,2,0,1,2,4,1,0,3,1,6,0,1,2,1,0,5,2,2,0,5,1,3,6,4,1,1,5,5,1,3,5,4,4,5,5,4,3,4,3,6,2,1,3,2,6,6,5,6,2,4,6,4,4,6,3,6,4,5,1,5,5
"S433","prolific","Domains","2024-11-21 15:28:14",23.1762,"chrome 131.0.0","false","Windows 10",1366,641,"Automatic","Female",28,"Bachelor","Engineering, Computer Science",FALSE,"Black","United States",3,NA,0,3,0,6,5,0,4,4,5,0,0,5,1,6,0,2,5,6,6,3,6,0,1,0,0,0,4,0,6,1,0,6,6,6,0,6,0,2,4,1,6,0,2,6,0,5,4,0,5,6,0,0,0,0,4,1,4,3,3,0,6,6,4,2,4,0,0,6,5,4,5,5,0,3,5,3,3,0,1,1,0,3,0,5,1,6,3,4,5,6,5,4,0,1,3,5,4,3,5,4,6,3,5,4,4,3,6,4,3,3,4,3,6,4,4,4,5,0,4,5,3,2,6,4,0,4,0,5
"S003","prolific","Dimensions","2024-11-18 14:45:15",9.28631666666667,"edge-chromium 130.0.0","false","Windows 10",1592,782,"Automatic","Female",22,"High school",NA,FALSE,"Black","United States",3,NA,0,4,1,5,5,0,3,3,1,4,4,2,4,3,4,4,0,1,4,0,6,3,1,4,0,5,3,5,4,0,6,6,6,6,0,5,5,3,4,3,6,0,2,4,0,6,1,2,5,5,0,0,0,0,4,2,4,5,2,2,2,6,6,3,0,0,6,2,4,3,3,6,1,2,6,2,6,0,5,5,1,1,6,3,4,4,3,5,1,6,1,4,3,1,1,1,3,4,4,0,4,4,1,2,2,1,6,0,4,3,4,6,1,1,5,4,6,5,2,4,5,3,3,1,4,2,0,5
"S407","prolific","Random","2024-11-21 12:18:52",33.5829,"chrome 131.0.0","false","Mac OS",1440,754,"Automatic","Female",23,"Bachelor","Arts and Humanities",FALSE,"Mixed","United Kingdom",3,NA,0,0,0,6,5,0,6,6,5,4,4,6,4,6,0,0,6,6,6,3,4,4,4,6,3,4,6,4,6,3,6,6,6,3,3,6,3,6,6,4,6,3,4,6,2,6,6,2,6,5,0,2,1,0,6,2,6,6,2,0,6,6,6,0,0,0,4,3,4,4,3,6,0,4,6,4,5,0,5,4,6,6,1,6,4,5,5,4,6,6,6,6,4,2,6,3,6,6,6,4,6,6,6,6,4,6,6,4,3,6,6,4,3,4,6,6,6,6,6,3,5,6,6,6,6,6,6,6
"S113","prolific","Domains","2024-11-19 11:42:35",24.9447333333333,"chrome 130.0.0","false","Windows 10",1536,651,"Automatic","Male",27,"Master","Business, Economics",FALSE,"Turkish","United Kingdom",4,NA,0,4,0,4,6,0,2,4,1,3,4,5,4,4,4,3,5,5,4,2,4,3,3,4,2,0,5,5,1,0,4,4,6,5,1,5,3,4,5,1,5,1,3,5,0,4,3,0,5,4,0,1,1,0,5,1,5,3,6,0,5,6,4,1,3,4,4,3,1,3,3,4,4,1,3,0,6,0,1,3,1,1,5,4,3,2,5,4,2,6,4,2,4,5,4,3,2,5,3,2,2,5,1,2,2,1,5,3,1,4,2,6,3,2,1,3,2,5,1,4,4,3,5,5,1,2,4,3
"S193","prolific","Domains","2024-11-19 15:53:41",35.03695,"firefox 130.0.0","false","Windows 10",1600,747,"Automatic","Female",52,"Doctorate","Biology, Chemistry, Physics",NA,"Prefer not to say","United States",2,NA,0,4,4,3,5,0,4,5,0,4,1,3,1,5,3,2,4,1,1,5,6,4,5,5,1,1,4,6,5,0,3,5,6,5,3,5,1,4,4,4,5,1,4,5,0,5,3,0,4,5,1,0,0,0,3,1,5,3,5,1,5,6,3,4,3,1,4,1,3,3,4,5,1,0,5,0,6,0,4,3,3,4,6,6,5,4,4,2,5,6,4,4,4,3,4,3,2,4,3,4,4,3,5,4,4,4,6,3,4,6,2,6,1,1,4,3,3,2,4,3,2,4,5,5,1,3,5,3
"S409","prolific","Domains","2024-11-21 12:37:48",14.38915,"firefox 132.0.0","false","Windows 10",2560,1279,"Automatic","Male",37,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,0,5,1,6,0,6,2,3,4,1,5,1,6,0,2,1,5,2,4,4,5,6,6,5,1,3,0,6,0,3,6,6,5,0,6,0,6,5,1,6,0,6,4,0,6,4,0,6,0,4,0,0,0,4,0,6,5,0,2,6,6,1,3,0,0,1,0,4,4,0,4,0,0,4,0,5,0,1,0,0,0,4,2,0,5,6,2,5,6,0,4,0,3,0,1,6,0,0,0,0,1,4,4,0,1,6,0,0,1,0,6,0,0,3,4,0,4,3,5,6,4,4,5,2,4,1,1
"S364","prolific","Random","2024-11-20 17:04:43",9.94703333333333,"edge-chromium 131.0.0","false","Windows 10",1528,740,"Automatic","Female",24,"Bachelor","History, Archaeology",FALSE,"White","United Kingdom",4,"N.A",0,0,1,3,2,0,0,4,4,4,5,4,5,5,0,1,0,4,5,0,4,4,6,4,0,4,5,5,3,1,2,5,6,5,0,4,4,0,5,4,3,1,1,5,2,4,2,1,2,3,1,4,5,0,4,4,3,4,0,3,1,6,4,5,3,1,0,2,5,4,6,0,4,4,2,5,3,0,1,4,4,4,6,2,5,5,1,1,3,6,5,2,6,2,1,1,5,2,1,2,3,1,2,0,3,1,6,1,4,3,4,5,1,4,3,1,3,4,0,2,6,1,5,2,4,4,1,3
"S034","prolific","Dimensions","2024-11-19 06:58:09",44.5557833333333,"chrome 130.0.0","false","Windows 10",1019,910,"Automatic","Male",31,"Master","Engineering, Computer Science",FALSE,"White","United States",4,NA,0,3,1,4,5,0,4,5,1,3,2,5,3,5,2,2,5,6,5,1,6,3,4,6,4,3,6,1,6,1,2,5,5,5,1,6,3,3,4,1,5,1,2,6,1,5,5,0,6,6,0,0,0,0,5,0,6,6,6,0,5,6,2,3,0,1,3,2,3,2,2,6,2,0,5,1,5,0,2,2,0,1,1,5,2,2,5,4,6,6,2,3,4,2,4,3,1,5,3,1,2,1,4,6,1,1,5,3,1,5,2,5,5,1,1,5,2,2,1,6,4,3,6,6,6,4,1,5
"S162","prolific","Dimensions","2024-11-19 14:33:06",8.67616666666667,"chrome 130.0.0","false","Chrome OS",1616,789,"Automatic","Male",44,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,0,3,5,6,0,4,5,3,3,2,4,0,6,1,6,4,4,5,3,5,2,2,6,0,3,5,2,5,3,6,6,6,6,0,4,0,4,4,3,6,0,3,4,4,6,3,1,4,3,0,1,1,0,5,0,4,5,5,0,5,6,3,3,0,1,4,0,2,2,1,3,1,1,5,2,6,0,5,2,0,1,5,2,3,3,6,4,6,6,3,4,1,4,4,3,2,3,5,3,4,1,5,4,4,5,6,5,4,5,0,6,2,4,5,4,4,4,3,5,5,4,4,4,1,4,5,4
"S092","prolific","Dimensions","2024-11-19 11:06:04",11.3687333333333,"chrome 116.0.0","false","Mac OS",1366,683,"Automatic","Female",39,"Bachelor","Arts and Humanities",FALSE,"White","United Kingdom",4,NA,0,0,4,0,6,0,1,6,0,1,1,4,2,5,1,4,4,4,4,0,6,5,5,0,1,1,6,1,5,0,5,6,6,6,0,5,0,3,2,5,6,0,5,5,0,6,3,0,6,5,0,0,0,0,6,0,5,5,0,0,5,6,5,0,0,0,2,2,0,3,0,2,1,0,4,0,5,0,4,0,0,0,5,3,4,5,5,0,4,6,0,0,4,4,0,0,4,1,4,0,0,4,4,0,0,0,6,0,3,4,0,5,0,0,5,0,4,6,0,4,6,1,2,5,2,2,2,3
"S334","prolific","Random","2024-11-20 12:11:55",18.4623166666667,"chrome 130.0.0","false","Windows 10",1536,730,"Automatic","Female",35,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,4,2,4,5,0,5,5,4,3,4,2,4,5,2,5,5,4,3,2,5,2,4,5,4,4,4,4,4,2,4,5,6,6,6,4,2,4,4,1,4,2,4,5,1,5,4,2,5,2,1,1,1,0,5,2,4,4,5,0,5,6,4,3,1,2,4,2,2,5,2,4,2,1,4,2,5,0,4,2,2,5,4,4,4,5,4,5,3,6,3,2,4,4,4,4,2,4,4,5,5,2,5,4,5,4,6,3,4,5,4,4,4,4,4,4,5,5,4,4,5,1,4,6,4,4,4,5
"S293","prolific","Dimensions","2024-11-19 21:20:47",11.54725,"chrome 128.0.0","false","Windows 10",1366,641,"Automatic","Female",32,"Doctorate","Engineering, Computer Science",NA,"turkish","United Kingdom",3,NA,0,4,5,2,1,0,3,4,3,6,5,4,5,4,2,2,5,4,4,5,3,5,2,0,2,5,3,5,2,4,3,3,6,5,4,1,4,4,2,5,4,4,5,2,5,2,6,4,3,3,0,0,1,0,4,2,0,0,4,0,4,6,3,6,5,4,1,3,4,5,5,1,2,1,5,5,5,0,3,4,3,4,5,5,5,5,4,5,5,6,2,2,2,4,3,1,1,4,2,2,5,2,1,1,3,1,6,3,4,5,3,4,0,4,0,3,4,4,2,4,4,3,4,4,2,3,5,4
"S309","prolific","Domains","2024-11-19 22:43:51",13.5645666666667,"chrome 130.0.0","false","Mac OS",1728,992,"Automatic","Male",33,"Bachelor","Engineering, Computer Science",FALSE,"White","United Kingdom",3,"na",0,2,1,4,3,0,5,3,1,0,1,4,4,3,5,3,5,4,1,3,5,4,5,2,4,1,5,3,1,0,4,4,6,3,4,3,4,6,4,4,3,2,2,4,0,4,0,0,5,0,3,2,2,0,3,1,4,2,5,2,6,6,0,2,2,0,1,1,2,0,2,4,1,0,4,4,3,0,2,0,0,0,2,5,4,3,2,2,1,6,2,0,3,2,5,4,1,2,1,5,1,2,2,5,4,4,6,3,4,2,4,3,2,4,1,5,0,6,0,2,4,5,0,4,0,4,4,4
"S207","prolific","Random","2024-11-19 17:08:12",39.13625,"chrome 130.0.0","false","Windows 10",1536,776,"Automatic","Male",24,"Master","Medicine",FALSE,"Black","United States",4,NA,0,4,1,5,6,0,3,4,0,4,0,5,5,5,2,4,5,6,5,3,5,5,2,3,0,1,3,4,6,3,1,6,6,5,0,6,5,6,6,6,6,5,6,6,2,6,5,1,5,6,6,1,4,0,5,2,6,6,5,2,5,6,6,1,4,0,1,4,3,5,0,5,1,5,6,3,4,0,0,5,3,1,5,6,5,5,6,4,6,6,5,6,6,3,6,3,4,5,5,5,5,2,5,4,5,5,6,5,2,4,1,5,3,4,6,6,5,6,3,6,5,3,6,6,1,5,5,4
"S230","prolific","Dimensions","2024-11-19 19:00:07",28.92275,"chrome 130.0.0","false","Windows 10",1366,641,"Automatic","Male",33,"Master","Arts and Humanities",FALSE,"Black","United Kingdom",4,NA,0,2,6,6,6,0,5,5,5,4,0,5,2,6,2,0,6,4,6,1,5,2,2,6,3,1,5,3,5,5,0,6,6,6,4,6,6,6,5,4,6,4,6,6,6,6,4,1,5,5,0,0,0,0,6,0,6,6,5,0,6,6,4,1,0,1,1,6,0,5,1,6,0,4,5,5,5,0,5,5,5,5,5,5,5,6,6,4,6,6,6,5,1,5,6,5,4,6,6,4,6,6,5,5,6,5,6,6,6,5,6,6,6,5,6,4,6,5,5,6,5,5,5,5,5,5,5,6
"S075","prolific","Domains","2024-11-19 10:50:39",10.7841666666667,"firefox 132.0.0","false","Windows 10",2560,1279,"Automatic","Male",30,"Bachelor","Engineering, Computer Science",FALSE,"White","United Kingdom",2,NA,0,0,1,4,6,0,5,5,1,2,2,3,5,5,4,2,4,3,4,1,5,2,3,5,3,3,5,1,5,1,5,5,6,4,2,4,3,4,5,1,5,0,3,5,1,5,4,1,4,2,0,0,0,0,3,0,3,3,3,0,5,6,3,2,1,4,3,3,2,3,1,5,1,0,5,4,5,0,4,5,1,5,5,5,5,2,3,2,2,6,3,1,3,4,3,1,4,5,2,2,2,3,2,2,2,3,6,1,3,2,3,3,1,1,3,4,5,4,1,4,4,5,4,4,1,3,4,3
"S046","prolific","Domains","2024-11-19 09:19:43",17.13905,"edge-chromium 130.0.0","false","Windows 10",1528,834,"Automatic","Female",52,"Bachelor","Arts and Humanities",FALSE,"White","United Kingdom",4,NA,0,1,6,2,6,0,4,5,1,5,0,5,0,4,1,3,4,5,5,1,5,2,2,5,1,2,6,3,6,0,5,6,6,6,2,6,3,5,6,5,6,0,4,6,1,6,5,0,6,5,1,4,1,0,4,5,4,6,6,1,4,6,6,2,5,4,2,1,5,6,3,4,2,2,4,3,4,0,3,4,1,3,5,5,5,6,3,5,5,6,4,0,1,4,3,1,6,1,3,6,5,4,5,1,6,1,6,1,2,6,4,5,4,6,4,1,6,5,2,3,5,1,2,4,6,2,0,5
"S223","prolific","Random","2024-11-19 18:02:11",10.4738166666667,"chrome 130.0.0","false","Windows 10",1536,730,"Automatic","Male",37,"High school",NA,FALSE,"White","United Kingdom",3,"lots of spelling and grammer errors",0,4,0,1,3,0,0,3,1,5,5,3,2,5,4,3,2,2,2,0,5,2,1,6,0,1,2,6,1,1,4,5,6,6,5,4,0,0,1,2,5,1,1,5,1,5,3,0,4,1,0,0,0,0,2,3,6,6,6,0,1,6,3,0,1,0,6,5,1,4,2,0,1,0,5,2,6,0,2,1,0,0,1,0,2,0,6,1,3,6,2,1,1,3,2,0,4,1,5,1,2,1,2,0,4,3,6,3,1,2,6,6,5,3,6,1,3,3,3,2,5,0,1,3,0,3,0,6
"S437","prolific","Dimensions","2024-11-21 15:30:39",10.8648666666667,"edge-chromium 131.0.0","false","Windows 10",1912,954,"Automatic","Male",25,"Associates",NA,NA,"Hispanic/Latino","United States",4,"I felt like i learned things about myself I never thought to question",0,5,5,2,6,0,1,6,6,6,4,2,5,6,2,5,4,5,4,0,6,0,3,6,0,5,2,6,6,0,5,6,6,6,0,6,4,5,5,4,6,0,0,6,0,6,6,1,4,4,0,0,4,0,5,2,5,6,5,1,5,6,4,1,3,0,3,6,1,0,4,5,0,0,5,0,6,0,5,1,0,0,5,4,3,4,3,1,4,6,0,0,4,4,0,0,3,3,6,4,5,0,3,1,3,0,6,0,5,3,5,6,5,4,6,0,6,6,5,3,5,0,6,4,5,2,0,6
"S154","prolific","Domains","2024-11-19 13:53:00",5.45915,"chrome 130.0.0","false","Mac OS",1470,797,"Automatic","Female",50,"High school",NA,FALSE,"Mixed","United States",4,"no",0,0,0,2,5,0,5,5,0,0,1,5,0,5,3,3,4,6,6,0,6,4,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,3,5,0,6,0,3,6,0,6,4,0,6,2,0,0,0,0,6,2,3,5,1,0,6,6,6,0,0,0,4,1,1,6,0,6,0,0,6,2,6,0,6,1,0,1,6,3,3,1,6,2,6,6,1,0,3,6,4,1,5,5,6,6,5,1,6,2,6,2,6,1,3,6,3,6,3,6,6,3,6,6,3,6,5,3,6,6,5,5,0,6
"S434","prolific","Random","2024-11-21 15:28:29",12.1981666666667,"firefox 131.0.0","false","Windows 10",1280,587,"Automatic","Female",27,"Master","Political Science, Law",FALSE,"South Asian","United Kingdom",4,NA,0,0,0,2,4,0,1,5,6,6,3,5,5,4,0,2,5,0,6,6,6,0,5,5,0,0,4,0,4,5,2,3,6,6,4,6,4,6,6,0,6,0,3,6,4,6,6,0,4,1,0,2,6,0,6,2,3,3,5,0,4,6,2,5,3,4,4,3,4,0,4,6,0,1,5,2,6,0,2,0,1,6,6,6,6,3,1,3,0,6,6,6,3,0,4,1,0,6,3,5,6,0,0,2,5,4,6,1,5,0,5,6,3,5,2,4,2,3,3,0,6,5,6,4,3,6,6,6
"S278","prolific","Domains","2024-11-19 20:50:41",16.6672166666667,"firefox 132.0.0","false","Windows 10",1600,760,"Automatic","Male",60,"High school",NA,FALSE,"White","United Kingdom",2,NA,0,2,6,6,2,0,4,2,6,6,5,3,3,1,1,3,2,0,3,1,3,0,4,6,5,3,6,4,4,0,5,6,6,6,1,6,1,5,3,3,6,0,2,6,0,6,2,1,3,2,2,6,6,0,5,3,6,6,1,3,6,6,0,0,1,6,1,0,3,1,1,3,0,0,4,3,5,0,5,3,0,5,5,5,4,4,3,0,1,6,2,0,1,2,6,1,3,1,3,2,6,2,4,1,3,5,6,5,0,2,2,4,3,3,3,2,6,3,2,6,4,2,2,2,1,2,5,4
"S501","prolific","Random","2024-11-22 08:40:28",31.4542666666667,"chrome 130.0.0","false","Windows 10",1280,585,"Automatic","Female",37,"Bachelor","Medicine",FALSE,"White","United Kingdom",0,NA,0,0,0,5,4,0,4,4,1,1,1,3,2,5,1,1,4,1,4,1,6,0,1,0,0,0,5,0,6,0,0,1,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,1,0,1,0,2,1,0,1,2,1,6,6,0,0,1,0,0,0,0,1,1,4,1,0,6,0,6,0,2,5,0,0,5,3,2,1,6,4,5,6,4,0,0,3,4,1,0,1,3,4,3,0,5,4,5,4,6,4,0,3,0,5,0,3,1,5,5,0,5,4,6,3,5,5,0,3,4,4
"S365","prolific","Random","2024-11-20 17:24:37",40.6498166666667,"chrome 131.0.0","false","Mac OS",1280,654,"Automatic","Female",21,"High school",NA,FALSE,"Mixed","United Kingdom",4,"n/a",0,2,3,4,3,0,4,2,0,2,4,4,4,6,6,2,4,3,4,3,6,2,4,5,2,5,5,1,5,4,4,5,6,4,1,5,5,4,5,5,5,2,5,4,4,5,4,3,4,3,2,0,0,0,4,3,4,5,4,1,4,6,2,2,2,1,2,3,2,4,2,5,1,3,5,2,4,0,5,6,3,1,5,3,6,5,3,3,4,6,4,4,4,5,3,1,4,4,4,6,5,3,5,4,6,4,6,1,4,4,2,5,2,6,4,3,1,2,4,4,5,4,5,5,4,6,3,4
"S170","prolific","Random","2024-11-19 14:36:40",9.59775,"firefox 132.0.0","false","Windows 10",1536,703,"Automatic","Male",35,"Bachelor","Engineering, Computer Science",FALSE,"Hispanic/Latino","United States",2,NA,0,6,2,4,6,0,3,6,3,6,0,6,3,6,3,0,1,3,3,0,4,0,0,6,0,3,6,4,6,0,3,5,6,6,0,4,1,5,4,1,6,2,5,5,0,6,2,0,3,0,0,0,0,0,4,3,3,4,5,0,0,6,0,3,0,1,0,0,0,3,3,0,2,0,6,0,6,0,3,3,1,0,3,3,3,2,5,0,6,6,2,0,5,5,1,0,6,2,4,4,4,1,4,0,3,1,6,6,0,4,0,6,3,4,0,0,2,4,0,5,5,5,1,3,0,4,3,6
"S061","prolific","Random","2024-11-19 09:51:51",10.8861166666667,"chrome 129.0.0","false","Mac OS",1210,703,"Automatic","Female",41,"Bachelor","Education",FALSE,"White","United Kingdom",3,NA,0,2,4,4,5,0,5,5,1,3,1,5,2,4,2,2,4,4,4,6,3,3,1,4,5,1,5,1,6,1,3,3,6,4,1,3,2,2,2,1,4,1,2,3,1,4,2,0,6,1,3,3,5,0,2,1,2,2,5,3,4,6,2,2,4,2,1,1,5,1,2,6,1,1,6,2,6,0,5,5,2,6,6,6,6,1,6,1,2,6,5,2,2,5,5,2,1,5,2,3,1,1,1,5,2,4,6,2,1,4,1,6,3,4,2,4,2,4,1,6,6,6,6,4,1,3,3,2
"S484","prolific","Dimensions","2024-11-22 03:27:16",9.85911666666667,"chrome 131.0.0","false","Mac OS",1920,1080,"Automatic","Female",18,"High school",NA,TRUE,"Hispanic/Latino","United States",4,NA,0,1,2,5,6,0,4,6,4,5,0,2,0,5,1,6,4,2,2,4,6,2,2,5,0,0,3,4,6,0,1,4,6,5,1,4,5,6,6,3,4,0,6,6,1,4,6,0,5,4,0,4,2,0,4,2,4,4,4,0,6,6,6,1,4,0,3,2,4,5,4,6,0,0,6,6,5,0,2,5,6,6,6,6,6,6,5,4,4,6,5,5,1,5,6,1,4,5,4,4,4,4,6,4,1,4,6,2,1,2,4,5,0,1,4,5,5,4,2,5,5,2,6,4,5,2,6,5
"S471","prolific","Domains","2024-11-21 20:42:54",10.28655,"chrome 130.0.0","false","Mac OS",1138,863,"Automatic","Female",26,"Bachelor","Arts and Humanities",FALSE,"White","United Kingdom",3,NA,0,5,6,0,5,0,0,4,4,6,2,2,1,1,3,5,0,5,2,0,5,4,5,4,0,3,4,5,4,5,3,4,6,5,4,4,3,5,4,1,4,1,4,2,5,2,0,0,3,2,0,0,0,0,2,1,2,2,2,0,4,6,3,0,0,0,4,3,0,1,5,1,4,0,2,5,3,0,2,0,0,1,0,2,4,1,0,1,1,6,1,0,5,3,1,0,0,0,0,0,4,0,0,0,0,1,6,0,0,4,0,1,0,0,1,0,0,5,4,0,1,1,1,2,2,0,0,0
"S225","prolific","Domains","2024-11-19 18:02:31",21.22875,"chrome 130.0.0","false","Windows 10",1280,559,"Automatic","Female",67,"High school",NA,FALSE,"White","United Kingdom",4,NA,1,1,1,6,6,0,6,5,1,2,1,5,5,6,5,5,6,5,5,5,6,5,1,5,0,0,6,5,5,6,6,6,6,6,6,6,5,5,5,5,6,0,0,6,6,6,0,0,6,6,1,4,6,0,6,0,6,6,6,0,5,6,6,0,0,0,5,0,6,6,1,6,0,0,6,5,6,0,5,0,0,5,6,5,1,1,6,5,3,6,5,5,5,4,6,5,3,4,6,1,5,3,5,6,2,5,6,6,2,5,0,6,6,2,6,6,5,5,2,6,6,6,3,6,6,2,6,5
"S313","prolific","Random","2024-11-20 01:00:58",11.5522666666667,"chrome 131.0.0","false","Windows 10",1536,778,"Automatic","Male",19,"High school",NA,FALSE,"White","United States",4,NA,0,6,6,5,5,0,5,2,6,5,6,6,4,5,6,2,4,6,1,6,2,6,6,6,4,5,4,5,5,6,5,6,6,5,6,6,4,6,6,5,4,4,5,5,6,6,6,2,6,6,1,4,4,0,6,3,4,4,6,1,6,6,6,6,5,4,2,5,5,6,6,5,3,4,1,6,5,0,5,5,2,5,5,6,6,6,6,6,3,6,6,6,6,6,5,5,2,6,5,3,6,4,6,4,3,5,6,4,6,3,0,6,6,2,6,3,5,5,6,1,5,5,6,4,4,2,5,6
"S473","prolific","Dimensions","2024-11-21 20:45:10",13.9286,"chrome 131.0.0","false","Mac OS",1512,823,"Automatic","Male",29,"Master","Psychology, Neuroscience",TRUE,"White","United Kingdom",2,NA,0,1,1,5,6,0,4,6,0,1,5,4,5,6,5,1,6,6,6,4,3,3,4,6,0,5,6,4,6,0,5,4,6,5,0,4,0,0,0,0,6,0,0,6,0,4,1,2,6,5,0,4,2,0,6,2,6,6,5,0,6,6,6,4,4,0,4,1,5,6,5,6,4,6,4,6,6,0,0,2,0,4,5,4,6,2,3,0,6,6,5,2,3,6,6,0,5,3,5,5,5,4,6,3,5,4,6,0,2,6,6,5,1,5,6,3,5,4,1,1,6,3,2,6,4,4,4,2
